Business Unit, Task หลัก,Detail,ความคืบหน้า,สถานะ (Status), Next Step,ผู้รับผิดชอบ,วันรับ Requirment,DEAD LINE ,Column 9
1. LOTTERY PLUS,,,,,,,,,
 LOTTERY PLUS,Community (MKT),แนวทางการ BUILD COMMUNITY  Online/Offline ,การที่จะทำให้ COMMUNITY FIRST ทำยังไง มีกี่แบบ อะไรบ้าง และในแต่ละแบบทำยังไงแบบเป็นขั้นเป็นตอน ใครรับผิดชอบ ใครประสานงานทั้งหมดในทุกฝ่ายในทุกแผนก,🟡 ,รอ Team Event และ CMO อัพเดทแผน Builld Community,CMO ,2/27,-,-
,Brand Book,,รอทางทีม We Compound Brand ปรับปรุงจาก Comment ,❌ ,รอทางทีม  We Compound ,We Compound ,2/6,-,
,MKT Structure,CEO อนุมัติแผนโครงสร้างทีมใหม่แล้ว,ประสาน HR ทำ JD และสรรหาคนเพิ่ม,🟡 ,Creator in resident CMO(พี่อิท) จะไปจัดการเงื่อนไข กรอบเวลา และแนวทางมาเสนอภายหลัง,CMO ,3/5,-,
,Event: Happy bus,กิจกรรมรถบัสความสุข (Happy Bus),สื่อสารถึงลูกค้าและ รอรวมรวบยอดทั้งหมด,🟡 ,กำลังดำเนินการ ตอนนี้ได้ 500/500 และมีการขยายเวลาลงทะเบียนแล้ว,Event,2/20,4/10,
,Event: Songkran,แผนจัดงานสงกรานต์ ,สรุปงบประมาณและรายละเอียดกิจกรรมทั้งหมด และรอคุยกับทาง MONO,🟡 ,MONO จะปรับ Road map และ สรุป Reqirement ตามที่ทีม และ CEO Prove ,MONO,3/5,3/23,
,Event: Racing Project,Agenda วันซ้อม/วันแข่ง,อยู่ในกระบวนการ ซ้อมตาม Calendar ,🟡 ,ซ้อมครั้งต่อไป  simulator (เพิ่ม) ดูวิธีการเข้าเกียร์ ,CEO,2/1,3/21,
,NOKPLUSCLUB,ชื่อ NOKPLUS CLUB ยังเหมาะสมอยู่ไหม ถ้าดูจาก Feature ทั้งหมด,MVP 1 & 2 และ Timeline มาแล้ว ,🟡 ,CEO ให้ไปรวม MVP 1 & 2 ให้พร้อมปล่อยทีเดียว ไม่อยากปล่อย MVP 1 ก่อน Deadline ไม่อยากให้เกินตุลาคม ทีมกำลังไป คิดว่าจะใช้ Feature ไหนบ้าง และ ตัด Feature ไหนบ้าง รอคุณ ต้น DEV นัด MEETING,คุณต้น DEV,3/6,-,
,Production (พี่ Balloon),"นามเสนอ 3 รายการ Youtube ตุ๊ดลองของ , โต๊ะหมูบูชา , Hope Land",ขึ้น DEMO ทุกรายการ ,🟡 ,Post ลง Social Media ของ Lottery plus แล้ว รอ Review และแนวทางการทำ,คุณ Balloon Production ,2/1,-,
,The Next Gen (คุณ SOFT),โปรแกรมพัฒนาบุคลากร ,Camp: อบรมเสร็จแล้ว และ อนุมัติงบประมาณทำ BrandBook แล้ว ,🟡 , และรอ ประชุมBrand bookกับคุณซอฟ วันที่ 25 เดือน มีนาคม,คุณSOFT,3/5,3/25,
,HR team ,สรุป แผนโครงสร้าง TEAM,รอนัดครั้งถัดไป,🟡 ,รอคุณ รถตู้ นัด MEETING,คุณ รถตู้,3/9,-,
2. MU TODAY,,,,,,,,,
MU TODAY,MU TODAY Community,"หยุดโฟกัส COMMUNITY และเน้นไปที่  PARTNER FIRST ก่อน 
แล้ว COMMUNITY จะมาเอง",พัฒนา Feature ร่วมกับหมอดู Partner,🟡 ,"Next Step
Focus Parthnership!
Support Partnership (Production + Content)
",Team Mutoday,3/6,-,
,,,,,,,,,
,ทำนายฝัน,อัปเดตฐานข้อมูลและการทำนาย,พัฒนา AI ต่อและ ทำ Content on Social,🟡 ,หา Creative และ TIktok,Team Mutoday,2/11,-,
3. CHECKIN PLUS,,,,,,,,,
CHECKIN PLUS,CHECKIN PLUS,,อนุมัติ Sale Support 4 ตำแหน่ง (เด็กจบใหม่)   และทำเรื่องการชำระเงินผ่านบัตรเครดิต,🟡 ,Checkin Book (BETA) ขึ้น Beta Web ปลาย มี.ค.,คุณอิง และ คุณเกน,2/6,-,
4. THAIMART,,,,,,,,,
THAIMART ,THAIMART ,"สรุป Business Model คอนเซปต์ ""THAIMART = TRUST"" ",Timeline: Web Beta (เม.ย.) / App (สิ้น พ.ย. 69),🟡 ,"
พี่นัทลองวางโครงสร้าง Branding และ Structure ของ THAIMART แล้วนำมาเสนอภายหลัง",คุณ นัท MU,3/6,-,
6. RIZZ UP (DATING APP),,,,,,,,,
RIZZUP,RizzUp Positioning,Collab Event สร้างการรับรู้ของแอป Awareness , Focus RizzUp Positioning,❌ ,โฟกัส Positioning Plan ให้ชัดและนำเสนอแผนภายหลัง,RIZZ UP TEAM,2/14,-,
5. CASHFLOW GAME,,,,,,,,,
CASHFLOW GAME,Game Development,ดำเนินการตามแผนโดยทีม MarkDev,อยู่ในขั้น Prototype,🟡 ,Update เดือนต่อเดือน และ ทาง MARK DEV จะทำ PitchDeckมาเสนออีกที แนวทางจดบริษัท แบ่งหุ้น,คุณ มาร์ค MANAGER DEV,2/12,-,